NUTS2:;Administrative Division ;Administrative Division [ENG];Country;Class;Inwoners;Pop density;Cases 1st April;Cases 30th April;New cases;Cases per 100.000 inh 1st April;Cases per 100.000  inh 30th April;Rise per capita in April;Deaths 1st April;Deaths 30th April;Tot. Death count in April;Deaths per 100.000 inh 1st April;Deaths per 100.000 inh 30th April;Rise per capita in April;Deaths/cases 1st April*;Deaths/cases 30th April*;Difference
NO092;Agder;Agder;Norway;4;303154;32;207;325;118;68,3;107,2;38,9;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
BE21;Antwerpen;Antwerp;Belgium;4;1857986;661,6;1.837;6.002;4.165;98,9;323,0;224,2;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
BE31;Brabant wallon;Brabant wallon;Belgium;4;403599;367,3;394;1.234;840;97,6;305,7;208,1;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
IE042;Connacht;Connacht;Ireland;4;550742;35;178;1.172;994;32,3;212,8;180,5;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
BE32;Hainaut;Hainaut;Belgium;4;1344241;353,9;1.502;5.560;4.058;111,7;413,6;301,9;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
NO02;Innlandet;Innlandet;Norway;4;370994;;344;437;93;92,7;117,8;25,1;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
DK01;København;Copenhagen;Denmark;4;1846023;751;1.597;5.040;3.443;86,5;273,0;186,5;n/a;270;n/a;n/a;14,6;n/a;n/a;5,4;n/a
IE06;Leinster;Leinster;Ireland;4;2630720;167;2.830;15.200;12.370;107,6;577,8;470,2;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
BE33;Liège;Liege;Belgium;4;1106992;289;1.385;5.992;4.607;125,1;541,3;416,2;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
BE22;Limburg;Limburg;Belgium;4;874048;366;1.700;5.327;3.627;194,5;609,5;415,0;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
